"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Dynamic Spectrum Management: A perspective for Polish Armed Forces","P. Gajewski; J. Lopatka; M. Suchanski; J. Jach","Military University of Technology, Warsaw, Poland; Military University of Technology, Warsaw, Poland; Military Communications Institute, Zegrze, Poland; TRANSBIT, Warsaw, Poland","2017 International Conference on Military Communications and Information Systems (ICMCIS)","","2017","","","1","6","The Dynamic Spectrum Management is a key to increase the spectrum efficiency usage in rapidly growing demand for spectrum in military operations. In the paper, the main results of national project concerning DSM proposals for Polish Armed Forces are presented. Two concepts have been proposed and demonstrated. Coordinated DSA uses the frequency broker for centralized management of spectrum resources available for operation time, and decentralized one uses OSA solutions for spectrum sharing. In both demonstrators, the radio nodes are equipped with some cognitive functions, but the main effort was concerned to present DSM possibilities to use on the tactical and battlefield MANETs. The experiments show significant increase of spectrum efficiency and jamming resistance for both DSM solutions. CDSA concept is ready to introduce in military networks based on legacy radios, assuming that they have an ability to implement OTAR procedures. To introduce in practice the OSA concept some research and legislative activities are needed, both in national and international perspectives. It concerns policies definitions, descriptions language agreement, new security procedures elaboration and agreement, etc.","","978-1-5386-3858-3","10.1109/ICMCIS.2017.7956498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7956498","Dynamic Spectrum Management;Coordinated Dynamic Spectrum Access;Opportunistic Spectrum Access;Frequency Broker;Cognitive Radio","Security;Dynamics;Radio spectrum management;Teleworking;Monitoring;Measurement","military communication;mobile ad hoc networks;radio spectrum management","dynamic spectrum management;spectrum efficiency usage;military operations;DSM proposals;Polish Armed Forces;coordinated DSA;frequency broker;centralized management;spectrum resources;operation time;spectrum sharing;radio nodes;DSM possibilities;tactical MANET;battlefield MANET;jamming resistance;military networks;legacy radios","","3","12","","","","","IEEE","IEEE Conferences"
"Machine Learning Assisted Optimization of Dynamic Crosstalk-Aware Spectrally-Spatially Flexible Optical Networks","M. Klinkowski; P. Ksieniewicz; M. Jaworski; G. Zalewski; K. Walkowiak","National Institute of Telecommunications, Warsaw, Poland; Faculty of Electronics, Wroclaw University of Science and Technology, Wrocław, Poland; National Institute of Telecommunications, Warsaw, Poland; National Institute of Telecommunications, Warsaw, Poland; Faculty of Electronics, Wroclaw University of Science and Technology, Wrocław, Poland","Journal of Lightwave Technology","","2020","38","7","1625","1635","We focus on optimization of dynamic spectrally-spatially flexible optical networks (SS-FONs), in which distance-adaptive, spectral super-channel (SCh) transmission is realized over weakly-coupled multi-core fibers (MCFs). In such networks, the inter-core crosstalk (XT) effect in MCFs impairs the quality of transmission (QoT) of optical signals, which has a negative impact on overall network performance. In this context, a key issue is the selection of a modulation format (MF) for a particular lightpath, since each MF offers a different tradeoff between spectral efficiency (number of occupied frequency slices) and transmission reach, and both these elements are in a close relation with the experienced XT. In fact, it is difficult to quantify the impact of the MFs used in a given network on the deterioration in QoT due to the XT effect and on overall network performance, as the levels of XT experienced by particular lightpaths depend directly on the ongoing transmissions in neighbor MCF cores, and those (i.e., established lightpaths) are subject to stochastic changes in dynamic SS-FONs. Therefore, in this article, we propose an approach that selects a MF for a lightpath based only on the transmission distance, i.e., length of the applied routing path. In particular, for each considered MF, we define a Modulation format Distance Limit (MDL) parameter that is used to select the MF for a lightpath by a simple comparison of the considered routing path length against the MDL parameter. To facilitate the very complex process of determining the best values of the MDL parameter, we propose a machine learning (ML) approach, namely, supervised learning regression method, with the overall goal to optimize network performance in terms of bandwidth blocking probability (BBP). Extensive simulation experiments performed in different network scenarios show that the proposed method ML allows to achieve performance gains when compared to various reference approaches, including a more computationally expensive method that is based on dynamic (flexible) selection of MFs.","1558-2213","","10.1109/JLT.2020.2967087","National Science Centre, Poland; National Science Centre, Poland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8961142","Space division multiplexing;multi-core fiber;quality of transmission;routing;spatial mode and spectrum allocation;network optimization;pattern recognition","Optical fiber networks;Optimization;Routing;Estimation;Modulation;Crosstalk;Resource management","","","","","27","IEEE","","","","IEEE","IEEE Journals"
"Characterization of ultrasonic communication channel in swimming pool","K. Bruliński; A. Rudziński; A. Stefani","Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; A.R.f., Warsaw, Poland; AGH University of Science and Technology, Faculty of Mechanical Engineering and Robotics, Kraków, Poland","2019 Signal Processing Symposium (SPSympo)","","2019","","","167","172","The aim of the paper is to present results of measurements performed to characterize the ultrasonic communication channel in a swimming pool. The paper describes the most important relevant properties of ultrasonic waves in water and of the used measurement setup, as well as characteristics of the ultrasonic channel. The obtained results reveal very significant contribution of reflected waves. Potential problems related to such environment with strong multipath propagation are discussed. The conclusions from this work can be used for design of a system using ultrasounds for transfer of information in a swimming pool.","","978-1-7281-1715-7","10.1109/SPS.2019.8882023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882023","acoustic waves;ultrasounds;hydrophone;signal propagation;underwater communication","Acoustics;Sonar equipment;Sports;Frequency measurement;Ultrasonic variables measurement;Sensors;Power measurement","multipath channels;ultrasonic propagation;ultrasonic reflection;underwater acoustic communication;underwater acoustic propagation","swimming pool;ultrasonic communication channel;ultrasonic waves;ultrasonic channel;reflected waves;multipath propagation;ultrasounds","","","10","","","","","IEEE","IEEE Conferences"
"Indirect Torque Control of a Cascaded Brushless Doubly-Fed Induction Generator Operating with Unbalanced Power Grid","G. Dauksha; G. Iwanski","Institute of Cotnrol and Industrial Electronics, Warsaw University of Technology, 49566 Warsaw Poland 00-66 (e-mail: gennadiy.dauksha@ee.pw.edu.pl); Institute of Control and Industrial Electronics, Warsaw University of Technology, 49566 Warszawa Poland 00-661 (e-mail: iwanskig@isep.pw.edu.pl)","IEEE Transactions on Energy Conversion","","2020","PP","99","1","1","This paper describes an indirect torque control algorithm for a cascaded brushless doubly-fed generator (CBDFIG). The control algorithm presented in the paper provides a possibility for CBDFIG to work with an unbalanced power grid applying different strategies: electromagnetic torque oscillations reduction, generated active power oscillation reduction, generated phase currents balancing, sinusoidal control currents under grid imbalance. The proposed control method is based on a cascaded brushless doubly-fed induction generator equivalent model and requires fewer tuning-demanding elements in comparison to classic control methods. The control algorithm presented in the paper was implemented and tested on a CBDFIG machine model in a simulation environment PSIM and on a real physical stand with a cascaded brushless doubly-fed generator.","1558-0059","","10.1109/TEC.2020.2972500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8986630","cascaded brushless doubly-fed induction generator;indirect torque control;unbalanced grid","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Sensing policy assessment for distributed Channel selection for Cognitive MANET in presence of Intentional Jamming","G. Szmit; J. Łopatka; J. Dołowski","Ministry of National Defence Republic of Poland, Command & Control Directorate - J6, Warsaw, Poland; Military University of Technology, Institute of Telecommunications, Faculty of Electronics, Warsaw, Poland; Military University of Technology, Institute of Telecommunications, Faculty of Electronics, Warsaw, Poland","2017 International Conference on Military Communications and Information Systems (ICMCIS)","","2017","","","1","8","Military wireless networks are used for exchange of constantly growing amount of data. The result is an increasing number of radio networks and required bandwidth both in civilian and military ones. It also causes a lot of interferences so coexistence between networks becomes a demand, because there is a lot of different sources of various interferences. Our radio systems are the mainly a source of interferences during the mission but the radio system must be ready to deal with an electronic warfare - with the intentional jamming. A solution can be the Cognitive Radio (CR), that has some autonomy to make decisions about the spectrum usage, that can be useful to ensure information exchange in the presence of intentional and accidental interferences. Efficient spectrum use is based on electromagnetic situation awareness, that can be obtained by spectrum sensing. We evaluate various sensing polices to optimize CR work against fast types of jammers. The operational assessment of different types of missions realization efficiency by service utility function is difficult and not always unequivocally shows changes introduced by a new policy implementation. So we propose to use Channel Ranking List Alteration Factor as a novel way of CR network capability evaluation and its ability to meet the information exchange requirements with required quality.","","978-1-5386-3858-3","10.1109/ICMCIS.2017.7956504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7956504","cognitive radio;spectrum sensing;spectrum awareness;operational evaluation","Sensors;Jamming;Radio networks;Information exchange;Mobile ad hoc networks;Military communication;Interference","cognitive radio;jamming;military communication;mobile ad hoc networks;radio spectrum management","sensing policy assessment;distributed channel selection;cognitive MANET;jamming;military wireless networks;radio networks;interference;radio systems;electronic warfare;cognitive radio;information exchange;spectrum sensing;channel ranking list alteration factor","","","18","","","","","IEEE","IEEE Conferences"
"Autoencoder versus PCA in face recognition","K. Siwek; S. Osowski","Institute of Theory of Electrical Engineering, Measurement and Information Systems, Warsaw, Poland; Institute of Theory of Electrical Engineering, Measurement and Information Systems, Warsaw University of Technology and Electronic Faculty, Military University of Technology, Warsaw, Poland","2017 18th International Conference on Computational Problems of Electrical Engineering (CPEE)","","2017","","","1","4","The paper presents the comparative analysis of the computer systems for face recognition. Autoencoder, the typical representative of deep learning is compared with the classical PCA transformation. Both, autoencoder and PCA serve as the tools for feature generation and selection. However, the important difference is the nonlinearity and multilayer structure applied in autoencoder. Final task of recognition is done by the support vector machine or softmax circuit. The numerical results performed on the multiclass base of faces have shown superiority of autoencoding principle, especially when the number of recognized classes is very high.","","978-1-5386-1040-4","10.1109/CPEE.2017.8093043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8093043","deep learning;autoencoder;PCA;face recognition","Principal component analysis;Face;Face recognition;Feature extraction;Support vector machines;Standards;Nonhomogeneous media","face recognition;learning (artificial intelligence);pattern classification;principal component analysis;support vector machines","autoencoder;face recognition;computer systems;deep learning;classical PCA transformation;feature generation;multilayer structure;support vector machine;softmax circuit","","1","9","","","","","IEEE","IEEE Conferences"
"Molecular Ordering of Nematic Liquid Crystals in Tubular Nanopores: Tailoring of Optical Anisotropy at the Nanoscale by Polymer Pore-surface Grafting","A. V. Kityk; P. Huber; K. Sentker; A. Andrushchak; P. Kula; W. Piecek; R. Wielgosz; O. Kityk; P. Goering; M. Lelonek","Czestochowa University of Technology,Faculty of Electrical Engineering,Czestochowa,Poland; Institute of Materials Physics and Technology, Hamburg University of Technology,Hamburg,Germany; Institute of Materials Physics and Technology, Hamburg University of Technology,Hamburg,Germany; Institute of Telecommunications, Radio Electronics and Electronic Technics Lviv National Polytechnic University,Lviv,Ukraine; Fac. of Adv. Technol. & Chem., Mil. Univ. of Technol., Warsaw, Poland; Military University of Technology,Faculty of Advanced Technologies and Chemistry,Warszawa,Poland; Energia Oze Sp. z o.o.,Konopiska,Poland; Energia Oze Sp. z o.o.,Konopiska,Poland; SmartMembranes Gmbh,Halle,Germany; SmartMembranes Gmbh,Halle,Germany","2018 IEEE 8th International Conference Nanomaterials: Application & Properties (NAP)","","2018","","","1","5","The optical polarimetry technique is used to explore molecular ordering of nematic liquid crystals 5FPFFPP3 embedded in parallel cylindrical channels of alumina membranes with pore walls covered by a SE-1211 polymer film enhancing normal anchoring. A chemical film deposition from organic solution apparently results in inhomogeneous coverage with local islands on the channels walls. Accordingly, a coexistence of differently ordered LC regions (nanodomains), characterized by positive and negative anisotropy, results in a weak effective (average) optical birefringence. Repeated polymer deposition reduces the size of uncovered pore walls regions and thus leads to a strengthening of negative optical anisotropy observed in the experiments.","","978-1-5386-5333-3","10.1109/NAP.2018.8915272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915272","nanocomposites;liquid crystals;modulation polarimetry;nanocofinement","Geometrical optics;Anisotropic magnetoresistance;Optical polymers;Optical films;Optical saturation;Nanocomposites","alumina;birefringence;liquid crystal polymers;membranes;nanostructured materials;nematic liquid crystals;polymer films","optical birefringence;polymer pore-surface grafting;nematic liquid crystal 5FPFFPP3;optical anisotropy;polymer deposition;inhomogeneous coverage;organic solution;chemical film deposition;SE-1211 polymer film;alumina membranes;parallel cylindrical channels;optical polarimetry;tubular nanopores;molecular ordering;Al2O3","","","18","","","","","IEEE","IEEE Conferences"
"Strain Sensor Based on a Long Period Fiber Grating with Dual-Resonance Closed in the Interferometric Structure","R. Zawisza; P. Mikulic; W. J. Bock; L. R. Jaroszewicz","Military University of Technology, Institute of Applied Physics Faculty of Advanced Technologies and Chemistry, Warsaw, Poland; Université du Québec en Outaouais, Photonics Research Center, Québec, Canada; Université du Québec en Outaouais, Photonics Research Center, Québec, Canada; Military University of Technology, Institute of Applied Physics Faculty of Advanced Technologies and Chemistry, Warsaw, Poland","2018 XV International Scientific Conference on Optoelectronic and Electronic Sensors (COE)","","2018","","","1","3","Spectral characteristics and amplitude tunabilitity of a long period grating with a dual-resonance inside fiber loop mirror are studied in terms of applied stress caused by the elongation. Inserting the polarization controller between grating and the loop structure enables tuning of resonance and interferometric peaks. The maximum sensitivity of demonstrated sensor is 1.943 dB/mμ for the range of 1.1-4.4 mμ. Combination of these two optical components enables to measure strain in wider range in comparing with sensors based on standard long period grating.","","978-1-5386-4107-1","10.1109/COE.2018.8435181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8435181","long period grating;fiber loop mirror;strain sensor;polarization-maintain fiber;polarization controller","Optical fiber sensors;Strain;Optical fiber polarization;Optical fiber couplers;Sensitivity","diffraction gratings;elongation;fibre optic sensors;light interferometry;mirrors;optical fibre polarisation;strain sensors","optical components;elongation;amplitude tunabilitity;interferometric peaks;loop structure;polarization controller;applied stress;fiber loop mirror;spectral characteristics;interferometric structure;dual-resonance;long period fiber grating;strain sensor;standard long period grating","","","11","","","","","IEEE","IEEE Conferences"
"Stratospheric VLF vertical electric mono-and dipole antenna tests in 2014–2015","T. A. Miś; J. Modelski","Division of Radiocommunication, Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, Poland; Division of Radiocommunication, Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, Poland","2018 Baltic URSI Symposium (URSI)","","2018","","","162","166","This paper presents the assumptions, executions and results of the three tests of vertical electric mono-and dipole antennas in the Earth's stratosphere, flown using helium balloons to the altitudes between 23 and 30 km in 2014 and 2015. The antennas varied in lengths and presented different technical aspects subjected to the tests (the corona protection, flight mechanics of extremely long flying objects, end weight for stabilizing the flight during the descent phase etc.). All aerials were safely retrieved after the landings. The data gathered during these missions helped to evaluate the basic concept of an airborne vertical electric aerial for Very Low Frequency range; it showed that very long aerials may induce electric charge flow when passing through the cloud layer, need additional weight at their ends to assure safe descent and, when composed of a tape-like structure, automatically move in a helical way, which, with a sufficient antenna length, may in the future enable the design of an elliptically-polarized vertical VLF antenna. The outcomes of the experiments shall be used in the design of a stratospheric VLF transmitter.","","978-8-3949-4213-7","10.23919/URSI.2018.8406693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406693","VLF;stratosphere;balloon;dipole;flight mechanics;corona","Dipole antennas;Terrestrial atmosphere;Security;Helical antennas;Meters;Safety","aircraft;antenna testing;balloons;corona;dipole antennas;Earth;remotely operated vehicles","vertical electric mono antenna;dipole antennas;dipole antenna tests;stratospheric VLF transmitter;elliptically-polarized vertical VLF antenna;electric charge flow;airborne vertical electric aerial;size 23.0 km to 30.0 km","","","10","","","","","IEEE","IEEE Conferences"
"Multianalyte Calibration Methods for Potentiometric Integrated Sensors System for Determination of Ions Concentration in a Body Fluids","M. Urbanowicz; D. G. Pijanowska; A. Jasiński; M. Bocheńska","IBBE PAS, Nalecz Institute of Biocybernetics and Biomedical Engineering Polish Academy of Science, Warsaw, Poland; IBBE PAS, Nalecz Institute of Biocybernetics and Biomedical Engineering Polish Academy of Science, Warsaw, Poland; Gdańsk University of Technology WCHEM GUT, Department of Chemistry and Technology of Functional Materials Chemical Faculty, Gdańsk, Poland; Gdańsk University of Technology WCHEM GUT, Department of Chemistry and Technology of Functional Materials Chemical Faculty, Gdańsk, Poland","2018 XV International Scientific Conference on Optoelectronic and Electronic Sensors (COE)","","2018","","","1","4","In recent years, integration and miniaturization of ion-selective electrodes (ISEs) have brought many benefits resulting in the possibility of simultaneous determination of the ions concentration in a small sample volume. One of the key problems related to the preparation of integrated sensors systems (ISSs) is a calibration procedure due to the necessity to calibrate each particular sensor separately. The main aim of the research was to develop a novel calibration method for ISSs fabricated with the use of an all-solid-state technology.","","978-1-5386-4107-1","10.1109/COE.2018.8435148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8435148","multianalyte calibration;ion-selective electrodes;integrated sensors system","Calibration;Ions;Electrodes;Mathematical model;Sensor systems;Optoelectronic and photonic sensors","calibration;chemical sensors;chemical variables measurement;electrochemical electrodes;potentiometers","multianalyte calibration methods;potentiometric integrated sensors system;body fluids;ion-selective electrodes;ISS;ion concentration determination;integrated sensor systems;ISE;all-solid-state technology","","","14","","","","","IEEE","IEEE Conferences"
"A Radiation-Tolerant Readout System for the ALICE Inner Tracking System Upgrade","J. Schambach; J. Alme; M. Bonora; P. Giubilato; R. Hannigan; H. Hillemanns; M. Lupi; S. V. Nesbø; A. Rehman; G. A. Rinella; M. J. Rossewij; K. M. Sielewicz; A. Velure","University of Texas, Austin, TX, 78712, USA; University of Bergen, Bergen, NO-5020, Norway; CERN, Geneva, Switzerland; European Organization for Nuclear Research (CERN), Geneva, Switzerland; University of Texas, Austin, TX, 78712, USA; European Organization for Nuclear Research (CERN), Geneva, Switzerland; European Organization of Nuclear Research (CERN), Goethe University, Frankfurt am Main, Germany; University of Bergen, Bergen, NO-5020, Norway; University of Bergen, Bergen, NO-5020, Norway; European Organization for Nuclear Research (CERN), Geneva, Switzerland; Department of Physics, Scientific Instrumentation, Utrecht University, Utrecht, Netherlands; Institute of Electronics Systems, CERN, Warsaw University of Technology, Warsaw, Poland; European Organization for Nuclear Research (CERN), Geneva, Switzerland","2018 IEEE Nuclear Science Symposium and Medical Imaging Conference Proceedings (NSS/MIC)","","2018","","","1","6","During the LHC Long Shutdown in 2019/20, the ALICE collaboration will upgrade various detector sub-systems including the Inner Tracking System (ITS) based on Monolithic Active Pixel Sensor (MAPS) technology. The part of the upgraded ITS readout system installed in the experimental hall consists of 192 custom FPGA-based readout units that control and monitor the sensors and their power supply modules, receive the trigger and detector control information, and deliver the sensor data to the counting room. In this article, we will describe the requirements, the readout concept, the developed prototype boards, and the testing efforts to determine the system susceptibility to the expected radiation levels. In various beam tests with the readout prototypes it was determined that a readout system based on an SRAM FPGA with appropriate protection measures in both hardware and firmware can be successfully operated in the radiation environment expected.","2577-0829","978-1-5386-8494-8","10.1109/NSSMIC.2018.8824419","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8824419","","Detectors;Field programmable gate arrays;Prototypes;Monitoring;Optical fiber communication;Clocks","CMOS image sensors;field programmable gate arrays;nuclear electronics;position sensitive particle detectors;readout electronics;silicon radiation detectors","radiation-tolerant readout System;ALICE Inner Tracking System upgrade;LHC Long Shutdown;ALICE collaboration;detector sub-systems;Monolithic Active Pixel Sensor technology;power supply modules;detector control information;sensor data;readout concept;system susceptibility;expected radiation levels;readout prototypes;FPGA-based readout units","","","16","","","","","IEEE","IEEE Conferences"
"Reduction of Phonon Escape Time for NbN Hot Electron Bolometers by Using GaN Buffer Layers","S. Krause; V. Mityashkin; S. Antipov; G. Gol'tsman; D. Meledin; V. Desmaris; V. Belitsky; M. Rudziński","Group for Advanced Receiver Development, Chalmers University of Technology, Gothenburg, Sweden; Radio-Physics Research and Educational Center, Department of Physics, Moscow State Pedagogical University, Moscow, Russia; Radio-Physics Research and Educational Center, Department of Physics, Moscow State Pedagogical University, Moscow, Russia; Radio-Physics Research and Educational Center, Department of Physics, Moscow State Pedagogical University, Moscow, Russia; Group for Advanced Receiver Development, Chalmers University of Technology, Gothenburg, Sweden; Group for Advanced Receiver Development, Chalmers University of Technology, Gothenburg, Sweden; Group for Advanced Receiver Development, Chalmers University of Technology, Gothenburg, Sweden; Institute of Electronic Materials Technology, Warsaw, Poland","IEEE Transactions on Terahertz Science and Technology","","2017","7","1","53","59","In this paper, we investigated the influence of the GaN buffer layer on the phonon escape time of phonon-cooled hot electron bolometers (HEBs) based on NbN material and compared our findings to conventionally employed Si substrate. The presented experimental setup and operation of the HEB close to the critical temperature of the NbN film allowed for the extraction of phonon escape time in a simplified manner. Two independent experiments were performed at GARD/Chalmers and MSPU on a similar experimental setup at frequencies of approximately 180 and 140 GHz, respectively, and have shown reproducible and consistent results. By fitting the normalized IF measurement data to the heat balance equations, the escape time as a fitting parameter has been deduced and amounts to 45 ps for the HEB based on Si substrate as in contrast to a significantly reduced escape time of 18 ps for the HEB utilizing the GaN buffer layer under the assumption that no additional electron diffusion has taken place. This study indicates a high phonon transmissivity of the NbN-to-GaN interface and a prospective increase of IF bandwidth for HEB made of NbN on GaN buffer layers, which is desirable for future THz HEB heterodyne receivers.","2156-3446","","10.1109/TTHZ.2016.2630845","Ministry of Education and Science of the Russian Federation; National Centre for Research and Development; RFBR; State Task 1846 of the Ministry of Science and Education of Russian Federation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776966","Epitaxial layers;hot electron bolometers (HEBs);submillimeter wave measurement;superconducting thin films","Phonons;Substrates;Gallium nitride;Buffer layers;Acoustics;Temperature measurement;Frequency measurement","bolometers;buffer layers;gallium compounds;hot carriers;III-V semiconductors;phonons;wide band gap semiconductors","phonon transmissivity;heat balance equations;critical temperature;buffer layers;hot electron bolometers;phonon escape time reduction;frequency 180 GHz;frequency 140 GHz;GaN","","2","33","","","","","IEEE","IEEE Journals"
"Protecting Wireless Mesh Networks Against Adverse Weather Conditions","E. Fitzgerald; M. Pióro; A. Tomaszewski","Department of Electrical and Information Technology, Lund University, Sweden; Institute of Telecommunications, Warsaw University of Technology, Poland; Institute of Telecommunications, Warsaw University of Technology, Poland","2018 10th International Workshop on Resilient Networks Design and Modeling (RNDM)","","2018","","","1","7","Adverse weather conditions can cause deterioration of wireless channels, leading to reduced link capacities. Unlike in other types of networks, in radio-based wireless mesh networks, the link capacities depend not only on the prevailing conditions, but also on interfering transmissions, as well as the transmission power and modulation and coding schemes used. This leads to increased difficulty in modelling and mitigating partial link failures, such as those caused by unfavourable weather. In this paper we present optimisation models for reconfiguration of routing and traffic demand volumes in wireless mesh networks, taking into account transmission power and modulation and coding schemes. We consider both a network planning application and online optimisation in response to failure states as they occur. We conduct a numerical study on a realistic network topology, showing the feasibility of our models for practical implementation.","2576-3539","978-1-5386-7030-9","10.1109/RNDM.2018.8489837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489837","","Interference;Meteorology;Wireless mesh networks;Optimization;Numerical models;Modulation;Encoding","channel capacity;optimisation;telecommunication network planning;telecommunication network reliability;telecommunication network routing;telecommunication network topology;telecommunication traffic;wireless channels;wireless mesh networks","wireless channels;radio-based wireless mesh networks;partial link failures;realistic network topology;weather conditions;modulation and coding schemes","","","18","","","","","IEEE","IEEE Conferences"
"Theoretical Analysis of Slow-light in π-phase-shifted fiber Bragg grating for sensing applications","K. M. Dwivedi; G. Trivedi; T. Osuch; K. Juryca; J. Pidanič","Dept. of Electronics and Electrical Engineering, Indian Institute of Technology Guwahati, Guwahati, India; Dept. of Electronics and Electrical Engineering, Indian Institute of Technology Guwahati, Guwahati, India; Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland; Dept. of Electrical Engineering, University of Pardubice, Pardubice, Czech Republic; Dept. of Electrical Engineering, University of Pardubice, Pardubice, Czech Republic","2019 Conference on Microwave Techniques (COMITE)","","2019","","","1","6","In this paper, a theoretical analysis of slow-light in π-phase-shifted fiber Bragg grating (π-FBG) for sensing applications has been presented. The coupled-mode theory (CMT) and transfer matrix method (TMM) have been used to establish the numerical modeling of slow-light in π-FBG. The influence of slow-light grating parameters, such as grating length (L), index change (δn), and loss coefficient (α), on the spectral and on the sensing characteristics of π-FBG are studied in detail. The simulation results show that for the maximum slow-light sensitivity the optimum grating parameters are obtained as L = 5 mm, δn = 1×10-3 and α = 0.10 m-1. The peak transmissivity of 0.55 and a remarkable group-index of 1477 is obtained from the optimized grating. The optimized π-FBG is used for slow-light sensing applications. The highest values of slow-light strain and temperature sensitivity of 8.431 με-1 and 91.6435°C-1, respectively are achieved. The slow-light sensitivity of proposed π-FBG is the highest as compared to apodized FBGs reported in the literature. Therefore, the proposed slow-light π-FBG shows great importance in sensing applications.","","978-1-5386-9337-7","10.1109/COMITE.2019.8733540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8733540","π-FBG;slow-light;peak transmissivity;group-index;slow-light sensitivity;transfer matrix method","Fiber gratings;Gratings;Indexes;Sensitivity;Temperature sensors","Bragg gratings;diffraction gratings;fibre optic sensors;strain measurement;strain sensors","proposed π-FBG;temperature sensitivity;slow-light strain;slow-light sensing applications;optimized π-FBG;optimized grating;optimum grating parameters;maximum slow-light sensitivity;sensing characteristics;grating length;slow-light grating parameters;theoretical analysis;π-phase-shifted fiber Bragg grating;size 5.0 mm","","1","30","","","","","IEEE","IEEE Conferences"
"Combination of SHE- and SHM-PWM Techniques for VSI DC-Link Current Harmonics Control in Railway Applications","M. Steczek; P. Chudzik; A. Szeląg","Institute of Electrical Power Engineering, Lodz University of Technology, 90-924 Lodz, Poland; Institute of Automatic Control, Lodz University of Technology, Lodz, Poland; Institute of Electrical Power Engineering, Warsaw University of Technology, Warsaw, Poland","IEEE Transactions on Industrial Electronics","","2017","64","10","7666","7678","The paper presents an innovative concept of applying a combination of well-known selective harmonic elimination (SHE) and selective harmonics mitigation (SHM) methods to shape a spectrum of catenary current harmonics, generated by a traction drive system equipped with a voltage source inverter. Application of this method allows for reducing distorting influence of a modern rolling stock supplied by a 3 kV dc catenary on the railway signaling, command, and control systems. The efficiency of the proposed method is independent of synchronization of a vehicle's inverters and of load balance of traction motors, which makes it more reliable than as it is proposed in the literature. Results of computer simulations were presented and compared with laboratory measurements. The obtained dc-link current spectrum using the proposed SHE/SHM method was compared with spectra received using synchronized and unsynchronized sinusoidal pulse-width modulations (SPWMs). Based on the conducted tests, it was shown that the proposed method of control, which was implemented in a laboratory drive system, is effective in reducing dc side current harmonics in a frequency range of 1300-3100 Hz, which is used by track circuits on railway lines, e.g., in Poland. The technique proposed by the authors allows taking into account any restrictions arising from the technical nature of low-frequency traction drives.","1557-9948","","10.1109/TIE.2017.2694357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7900369","DC–AC power conversion;electromagnetic compatibility (EMC);harmonics distortion;pulse-width modulation (PWM);rail transportation compatibility;selective harmonic mitigation (SHM);traction vehicles","Harmonic analysis;Power harmonic filters;Inverters;Rail transportation;Modulation;Voltage control","harmonics suppression;PWM invertors;railway rolling stock;synchronisation;traction motor drives;voltage-source convertors","SHE-PWM techniques;SHM-PWM techniques;VSI DC-link current harmonics control;railway applications;selective harmonic elimination;selective harmonics mitigation;catenary current harmonics spectrum;traction drive system;voltage source inverter;rolling stock;railway signaling;command and control systems;synchronization;load balance;traction motors;computer simulations;dc-link current spectrum;laboratory drive system;dc side current harmonics reduction;track circuits;railway lines;low-frequency traction drives;voltage 3 kV","","8","35","OAPA","","","","IEEE","IEEE Journals"
