Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Improving Evolutionary Algorithms in a Continuous Domain by Monitoring the Population Midpoint,J. Arabas; R. Biedrzycki,"Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland",IEEE Transactions on Evolutionary Computation,,2017,21,5,807,812,"It is advocated that monitoring the population midpoint allows for improving the efficiency of population-based evolutionary algorithms (EAs) in ℝd. The theoretical motivation supporting this hypothesis is provided in this letter, and this phenomenon is empirically confirmed for selected typical EAs by a series of tests for fitness functions contained in the CEC2005 and CEC2013 benchmark sets.",1941-0026,,10.1109/TEVC.2017.2673962,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862754,CEC benchmark set;convergence;population midpoint,Sociology;Benchmark testing;Convergence;Evolutionary computation;Monitoring;Covariance matrices,evolutionary computation,population midpoint;theoretical motivation;population-based evolutionary algorithms;fitness functions,,4,15,Traditional,,,,IEEE,IEEE Journals,,,,,,,,,,,
DC Charger Simulation Results Compared to Measurements,J. Baraniak; J. Starzyński,"Warsaw University of Technology, Koszykowa 75, Warszawa, 00-662, Poland; Warsaw University of Technology, Koszykowa 75, Warszawa, 00-662, Poland",19th International Conference Computational Problems of Electrical Engineering,,2018,,,1,4,"The article presents Matlab Simulink simulation model of an electric vehicle charger. The results of the simulations are compared to the results of measurements registered in the actual distribution network supplying the DC charger, showing good agreement.",,978-1-5386-7895-4,10.1109/CPEE.2018.8506986,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8506986,e-mobility;charging station;electric vehicle (EV);fast charging;DC/DC converters,Load modeling;Conferences;Automobiles;Electric vehicles;Circuit faults;Electromagnetic interference;Current measurement,battery chargers;battery powered vehicles;distribution networks;mathematics computing;power engineering computing,DC charger simulation results;Matlab Simulink simulation model;electric vehicle charger,,,13,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Per Unit Approach Based Assessment of Torque Production Capability of PMSMs Operating in the Field Weakening Region,M. Gierczynski; L. Grzesiak,"Institute of Control and Industrial Electronics Warsaw University of Technology, Warsaw, Poland; Institute of Control and Industrial Electronics Warsaw University of Technology, Warsaw, Poland",2019 Fourteenth International Conference on Ecological Vehicles and Renewable Energies (EVER),,2019,,,1,15,"The permanent magnet synchronous motor (PMSM) is a frequent choice for battery electric vehicle (BEV) traction purposes. In order to cover torque demand of common drive cycles with single gear transmission, a very wide field weakening operation range is necessary. This paper introduces a modified per unit system description, which takes advantage of a novel definition of base quantities. The presented method allows easy assessment of PMSM drive torque curve shape in the field weakening region based on only two variables, i.e., the drive characteristic factor and the electrical machine saliency factor. These two factors are also sufficient to describe all qualitatively different torque vs. speed curve shapes, which can be achieved using PMSM variable speed drives. It is a well known fact that the motor power factor affects inverter power rating and its current demand. The presented approach links this dependency with a particular qualitative drive torque vs. speed curve shape. It allows further to predict machine equivalent circuit parameters and the inverter power rating for every feasible torque vs. speed curve shape meeting particular application requirements. This method provides then an analytical basis for preliminary system design and dimensioning.",,978-1-7281-3703-2,10.1109/EVER.2019.8813512,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8813512,permanent magnet synchronous motor;field weakening;torque curve;motor saliency,,battery powered vehicles;electric vehicle charging;equivalent circuits;gears;invertors;permanent magnet motors;power factor;synchronous motor drives;torque;variable speed drives,torque production capability;field weakening region;permanent magnet synchronous motor;torque demand;single gear transmission;PMSM drive torque curve shape;PMSM variable speed drives;motor power factor;inverter power rating;current demand;machine equivalent circuit parameters;battery electric vehicle traction;BEV traction,,,24,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Does fragile co-adaptation occur in small datasets?,A. Gumbira; R. Kożuszek,"Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland",2018 Baltic URSI Symposium (URSI),,2018,,,278,282,"Recent study using AlexNet architecture and ImageNet dataset has shown that the transferability of each layer in Convolutional Neural Network (CNN) can be quantified. One interesting finding from this study is that performance degradation when performing transfer learning without finetuning is not only caused by the specificity of the features, but also due to fragile co-adapted neurons between neighboring layers. This raises a question whether this phenomenon also occurs on smaller datasets and simpler network architectures. Using CIFAR-10 and three different CNN architectures, we reported that we have not seen this effect. The drop in performance is solely due to the specificity of the features learned for the source task.",,978-8-3949-4213-7,10.23919/URSI.2018.8406745,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406745,transfer learning;fragile co-adaptation;convolutional neural network,Task analysis;Transportation;Animals;Network architecture;Training;Computer architecture;Convolution,feedforward neural nets;learning (artificial intelligence);neural net architecture,Convolutional Neural Network;performance degradation;performing transfer learning;fragile co-adapted neurons;neighboring layers;smaller datasets;simpler network architectures;fragile co-adaptation;transferability;CNN architectures;transfer learning;CIFAR-10;AlexNet architecture;ImageNet dataset,,,6,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Single-Frequency Integrated Ring Laser for Application in Optical Gyroscope Systems,S. Stopinski; L. Augustin; R. Piramidowicz,"Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; SMART Photonics B.V., Eindhoven, The Netherlands; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland",IEEE Photonics Technology Letters,,2018,30,9,781,784,"In this letter, a monolithically integrated ring laser is demonstrated and discussed with respect of potential application in optical gyroscope systems. The device has been realized using generic indium phosphide technology and fabricated on a multi-project wafer. The laser design uses a racetrack resonator with an arrayed waveguide grating as an intra-cavity wavelength filter. Measurement results proved the on-chip laser power of ca. 10 mW and single frequency operation with side mode suppression ratio over 50 dB. The laser is integrated with an interferometric detection circuit for monitoring the beating signal under rotation of the device.",1941-0174,,10.1109/LPT.2018.2814679,Polish National Science Centre; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8314082,Ring lasers;optical gyroscopes;photonic integrated circuits;indium phosphide;generic integration technology,Arrayed waveguide gratings;Ring lasers;Waveguide lasers;Laser modes;Measurement by laser beam;Semiconductor optical amplifiers,arrayed waveguide gratings;gyroscopes;III-V semiconductors;indium compounds;integrated optoelectronics;laser cavity resonators;laser modes;monolithic integrated circuits;optical fabrication;optical filters;optical sensors;ring lasers;semiconductor lasers,single frequency operation;single-frequency integrated ring laser;optical gyroscope systems;monolithically integrated ring laser;multiproject wafer;laser design;racetrack resonator;arrayed waveguide grating;on-chip laser power;indium phosphide technology;intracavity wavelength filter;side mode suppression ratio;interferometric detection circuit;power 10.0 mW;InP,,1,12,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Optimisation-Based Tuning of Dynamic Matrix Control Algorithm for Multiple-Input Multiple-Output Processes,J. Sawulski; M. Ławryńczuk,"Warsaw University of Technology, Institute of Control and Computation Engineering, ul. Nowowiejska 15/19, Warsaw, 00-665, Poland; Warsaw University of Technology, Institute of Control and Computation Engineering, ul. Nowowiejska 15/19, Warsaw, 00-665, Poland",2018 23rd International Conference on Methods & Models in Automation & Robotics (MMAR),,2018,,,160,165,"This work discusses tuning of Model Predictive Control (MPC) algorithms by means of some global optimisation methods. For test purposes the Dynamic Matrix Control (DMC) algorithm applied to a Multiple-Input Multiple-Output (MIMO) process with 4 manipulated and 3 controlled variables is considered. The tuned parameters include prediction and control horizons as well as the weights of the minimised MPC cost-function. Four global optimisation methods are considered: the Particle Swarm Optimisation method, the Firefly Algorithm, the Grey Wolf Optimiser and the Jaya algorithm. They are compared in terms of the ability to find the best solution and convergence. The obtained results show that global optimisation methods can be successfully used in this type of tasks.",,978-1-5386-4325-9,10.1109/MMAR.2018.8486137,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486137,,Process control;Prediction algorithms;Monte Carlo methods;Heuristic algorithms;Tuning;Optimization methods,matrix algebra;MIMO systems;particle swarm optimisation;predictive control,minimised MPC cost-function;Jaya algorithm;particle swarm optimisation method;firefly algorithm;grey wolf optimiser;dynamic matrix control algorithm;model predictive control algorithms;multiple-input multiple-output process;DMC algorithm;MIMO process;manipulation,,1,12,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Protecting Wireless Mesh Networks Against Adverse Weather Conditions,E. Fitzgerald; M. Pióro; A. Tomaszewski,"Department of Electrical and Information Technology, Lund University, Sweden; Institute of Telecommunications, Warsaw University of Technology, Poland; Institute of Telecommunications, Warsaw University of Technology, Poland",2018 10th International Workshop on Resilient Networks Design and Modeling (RNDM),,2018,,,1,7,"Adverse weather conditions can cause deterioration of wireless channels, leading to reduced link capacities. Unlike in other types of networks, in radio-based wireless mesh networks, the link capacities depend not only on the prevailing conditions, but also on interfering transmissions, as well as the transmission power and modulation and coding schemes used. This leads to increased difficulty in modelling and mitigating partial link failures, such as those caused by unfavourable weather. In this paper we present optimisation models for reconfiguration of routing and traffic demand volumes in wireless mesh networks, taking into account transmission power and modulation and coding schemes. We consider both a network planning application and online optimisation in response to failure states as they occur. We conduct a numerical study on a realistic network topology, showing the feasibility of our models for practical implementation.",2576-3539,978-1-5386-7030-9,10.1109/RNDM.2018.8489837,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489837,,Interference;Meteorology;Wireless mesh networks;Optimization;Numerical models;Modulation;Encoding,channel capacity;optimisation;telecommunication network planning;telecommunication network reliability;telecommunication network routing;telecommunication network topology;telecommunication traffic;wireless channels;wireless mesh networks,wireless channels;radio-based wireless mesh networks;partial link failures;realistic network topology;weather conditions;modulation and coding schemes,,,18,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Medium-Voltage Power Converter Interface for Multigenerator Marine Energy Conversion Systems,N. Müller; S. Kouro; M. Malinowski; C. A. Rojas; M. Jasinski; G. Estay,"Department of Electronic Engineering, Universidad Técnica Federico Santa María, Valparaíso 2390123, Chile; Department of Electronic Engineering, Universidad Técnica Federico Santa María, Valparaíso 2390123, Chile; Institute of Control and Industrial Electronics, Warsaw University of Technology, 00-661 Warsaw, Poland; Department of Electronic Engineering, Universidad Técnica Federico Santa María, Valparaíso 2390123, Chile; Institute of Control and Industrial Electronics, Warsaw University of Technology, 00-661 Warsaw, Poland; Schneider Electric, Santiago 8550189, Chile",IEEE Transactions on Industrial Electronics,,2017,64,2,1061,1070,"Marine energy conversion systems are highlighted among nonconventional renewable energy sources for their availability and energy density. Most marine energy conversion systems are based on multigenerator units or arrays, projected to inject power to the grid in the megawatt range. The current solution for regulating generators and managing power output is the use of two-level voltage-source converters in a back-to-back configuration for each generator. This work presents the model, control scheme, and experimental validation of a configuration, which is able to interface medium-voltage high-power multigenerator marine energy conversion systems to the grid at medium-voltage high-power levels. The configuration is based on a two-step rectifier/boost converter for each generator and a multilevel inverter that merges and manages the multiple power outputs from the multigenerator section of the system. The multilevel inverter is responsible for controlling power flow to the grid and provides regulated medium-voltage high-power injection.",1557-9948,,10.1109/TIE.2016.2615276,Advanced Center for Electrical and Electronic Engineering (AC3E); CONICYT-PCHA/Doctorado; European Union FP6; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7583739,Marine energy conversion systems (MECSs);multigenerator;multilevel converters;neutral point clamped (NPC);power take off;Wave Dragon,Energy conversion;Medium voltage;Generators;Turbines;Torque;Rotors;Stators,hydroelectric power;invertors;rectifiers,medium-voltage power converter interface;multigenerator marine energy conversion systems;medium-voltage high-power levels;two-step rectifier;boost converter;multilevel inverter;power flow control;medium-voltage high-power injection regulation,,19,45,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Detecting Gait Anomalies Based on the Analysis of Foot Pressures,P. Zawadzki; J. Starzyński,"Institute of Theory of Electrical Engineering, Measurement and Information Systems, Warsaw University of Technology,Warsaw,Poland; Institute of Theory of Electrical Engineering, Measurement and Information Systems, Warsaw University of Technology,Warsaw,Poland",2019 IEEE 20th International Conference on Computational Problems of Electrical Engineering (CPEE),,2019,,,1,4,"The modern professional medical devices for gait analysis are very advanced but are not portable and available everywhere. However, the current information about our gait (“permanent” monitoring) might be helpful to improve our health condition. This paper describes the idea of gait anomalies detection by algorithms of deep learning. These algorithms analyze data collected by a prototype measuring device managed by a mobile application. Sensors collect foot pressure values as data for deep learning. The problem of collecting real data (from real patients) is discussed. The potential use of the device described is also discussed. Finally, assumptions and expectations regarding the results were compared with several related projects of deep learning and gait analysis. Our analysis of related studies shows that the use of deep neural networks (convolutional and recurrent) can have a satisfactory probability of detecting gait anomalies.",,978-1-7281-2810-8,10.1109/CPEE47179.2019.8949165,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949165,gait anomalies detection;pressure sensors;insole;Arduino;mobile application;deep learning,,biomedical equipment;gait analysis;learning (artificial intelligence);neural nets,deep neural networks;foot pressure values;prototype measuring device;deep learning;gait anomalies detection;health condition;permanent monitoring;gait analysis;modern professional medical devices;foot pressures,,,16,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
The impact of four phase switched reluctance motor's control parameters on the performance of the drive,K. Bieńkowski; K. Jackiewicz,"Electrical Engineering Faculty, Warsaw University of Technology, Poland; Electrical Engineering Faculty, Warsaw University of Technology, Poland",2017 International Symposium on Electrical Machines (SME),,2017,,,1,5,"The results of four phase switched reluctance motor tests were presented in this paper. Torque versus speed characteristics were executed for different control parameters. The energy converter designed to this motor allows to control phase current and switching angles independently. The experimental results show that the shape of the mechanical characteristics heavily depends of the switching angles and maximum phase current. It has been found through tests, that efficiency characteristics of the drive can be improved by the right adjustment of the switching angles, even in the low load conditions.",,978-1-5386-0359-8,10.1109/ISEM.2017.7993565,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7993565,switched reluctance motor;torque-speed curve,Torque;Switches;Reluctance motors;Rotors;Velocity control;Windings;Stator windings,AC motor drives;machine control;power convertors;reluctance motors,four phase switched reluctance motor control parameters;four phase switched reluctance motor tests;control parameters;energy converter;phase current control;switching angles;mechanical characteristics,,,15,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Evolutionary Algorithm Based Multisine Inputs,J. Szulczyk; P. Lichota,"Institute of Aeronautics and Applied Mechanics, Warsaw University of Technology, Warsaw, Poland; Institute of Aeronautics and Applied Mechanics, Warsaw University of Technology, Warsaw, Poland",2019 20th International Carpathian Control Conference (ICCC),,2019,,,1,6,This paper concerns the multisine power spectrum optimization and its influence on the system identification accuracy. For comparison purposes two kinds of manoeuvres were analysed. In the first case multisine inputs based on uniform power spectrum were designed. In the second case the amount of energy stored in each harmonic was optimized. This was achieved by minimizing the Relative Peak Factor and allowed to obtain multisine inputs with non-uniform power spectrum. Both designs were used later to excite the object. The aircraft response was registered and used for estimating stability and control derivatives. To perform the parameter estimation Output Error Method was selected. The evaluations were performed in Matlab environment.,,978-1-7281-0702-8,10.1109/CarpathianCC.2019.8766028,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766028,system identification;maximum likelihood;multisine;input signals;genetic algorithm,Mathematical model;Harmonic analysis;Aircraft;Atmospheric modeling;Aerodynamics;Power system harmonics;Sociology,aircraft control;evolutionary computation;optimisation;parameter estimation;stability,multisine power spectrum optimization;system identification accuracy;evolutionary algorithm based multisine inputs;aircraft response;stability estimation;parameter estimation output error method;Matlab environment;control derivatives;nonuniform power spectrum;Relative Peak Factor;uniform power spectrum,,,13,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Architecture of the system of 1:10 scale autonomous car — Requirements-based design and implementation,M. Perciński; M. Marcinkiewicz,"Students' Robotics Association, Faculty of Power and Aeronautical Engineering, Warsaw University of Technology Warsaw, Poland; Students' Robotics Association, Faculty of Power and Aeronautical Engineering, Warsaw University of Technology Warsaw, Poland",2018 International Interdisciplinary PhD Workshop (IIPhDW),,2018,,,263,268,"This paper presents the architecture of the system of 1:10 scale autonomous car. It emphasizes how requirements-based approach was followed in project design phase not only to meet formal requirements of Carolo-Cup 2018 competition, but also to maximize vehicle performance. In competition events vehicles are supposed to operate in road-simulating environment, particularly to handle real-time navigation, static and dynamic obstacles avoiding, parking and following right of the road in intersections. In dynamic events quality of behavior and pace of performed actions are graded. Additional factors influencing final assessment are safety engineering, cost efficiency and knowledge management in team.",,978-1-5386-6143-7,10.1109/IIPHDW.2018.8388370,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8388370,carolo-cup;autonomous car;system integration;computer vision,Automobiles;Roads;Sensors;Task analysis;Cameras;Autonomous automobiles;Computer vision,automobiles;collision avoidance;design engineering;knowledge management;mobile robots,project design phase;vehicle performance;autonomous car;road-simulating environment;safety engineering;cost efficiency;knowledge management;Carolo-Cup 2018 competition;requirements-based design;real-time navigation;dynamic obstacle avoidance;static obstacle avoidance;parking,,,10,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
All-SiC 5 kW/50 kHz three-phase hybrid rectifier with reduced input current harmonics,K. Gedroyc; M. Jasinski,"WARSAW UNIVERSITY OF TECHNOLOGY, Faculty of Electrical Engineering, Pl. Politechniki 1, Warsaw, Poland; WARSAW UNIVERSITY OF TECHNOLOGY, Faculty of Electrical Engineering, Pl. Politechniki 1, Warsaw, Poland",2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe),,2017,,,P.1,P.10,"This paper provides conclusions on design and laboratory tests of a hybrid rectifier prototype which employs the newest generation of SiC transistors and diodes. For the presented hardware prototype the AC-DC efficiency is about 98%. Based on simulation analysis and the practical realization pros and cons of this topology were identified. It should be noted that hybrid rectifiers importance is growing because of their unique features such as: its natural short circuit robustness and protection therefore a dead time is not needed. Moreover, these features are available with a relatively simple control method.",,978-90-75815-27-6,10.23919/EPE17ECCEEurope.2017.8099276,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099276,Converter circuit;Converter control;Design;Efficiency;Silicon Carbide (SiC),Hybrid power systems;Topology;Europe;Silicon carbide;Integrated circuit modeling;Voltage control;Harmonic analysis,AC-DC power convertors;monolithic integrated circuits;rectifying circuits;silicon compounds;wide band gap semiconductors,diodes;input current harmonics reduction;AC-DC efficiency;all SiC three-phase hybrid rectifier;transistors;power 5.0 kW;frequency 50 Hz;SiC,,,21,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
From Klein Heidelberg to Modern Multistatic Passive Radar,K. Kulpa; M. Malanowski,"Warsaw University of Technology, Institute of Electronic Systems, Warsaw, POLAND; Warsaw University of Technology, Institute of Electronic Systems, Warsaw, POLAND",2019 20th International Radar Symposium (IRS),,2019,,,1,9,"Passive radar technology is currently entering the maturity stage. The rapid development of ground-based passive radars can be seen around the world. Technology is cheap and reliable, and a further step will be to apply the passive radar to mobile platforms - surface, sea, air-borne and perhaps also space-borne. This paper presents the history of the passive radar, and the present stage of the development of the above mentioned technology in military and civilian applications.",2155-5753,978-3-7369-9860-5,10.23919/IRS.2019.8768176,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8768176,,Passive radar;Radar antennas;Radar imaging;Radar tracking;Target tracking;Frequency modulation,passive radar,modern multistatic passive radar;passive radar technology;maturity stage;ground-based passive radars;mobile platforms,,,35,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Multi-Objective Optimization Platform of AC-DC Converters Components,R. Szmurlo; S. Piasecki,"Faculty of Electrical Engineering, Warsaw University of Technology, Poland; Faculty of Electrical Engineering, Warsaw University of Technology, Poland",19th International Conference Computational Problems of Electrical Engineering,,2018,,,1,4,"The paper presents application of two selected algorithms for an online platform for multicriteria optimization of AC/DC converters. The purpose of the platform is to speed up selection of components to satisfy the four main objectives in power electronic circuits: total power loses, weight, volume and total price. The system generates a pareto front for the objectives considering several constraints. It uses a discrete optimization scheme searching the database of available components. The database of components contains magnetic elements, semiconductors and capacitors used in a few typical configurations of AC-DC converters. The paper focuses on presenting a concept of the system which allows to put together simulators of different components calculating objectives with modern multicriteria optimization algorithms (NSGAIII, SPEA2). The system proved to be very effective even for large databases of components composed of tens of thousands of items.",,978-1-5386-7895-4,10.1109/CPEE.2018.8507006,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8507006,ac/dc converters;multicriteria optimization;evolutinary algorithms;optimization system design,,AC-DC power convertors;evolutionary computation;Pareto optimisation;power electronics,multiobjective optimization platform;AC-DC converters components;online platform;power electronic circuits;total price;discrete optimization scheme;total power loses;power electronic circuits weight;power electronic circuits volume;Pareto front;multicriteria optimization algorithms,,,7,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
ECG-Derived Respiration - Complete Implementation and its Evaluation with Use of Clinical Data,S. Buś; K. Jędrzejewski,"Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland; Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland",2018 International Conference on Signals and Electronic Systems (ICSES),,2018,,,209,213,The paper presents the results of studies devoted to development of the complete (end-to-end) and effective implementation of the method for reconstruction of a respiration signal from electrocardiogram (ECG). The methods for deriving a reliable information about patient's respiration activity without a necessity to make measurements other than ECG are generally referred to as ECG-derived respiration (EDR). Several well recognized signal processing techniques used in the subsequent stages of ECG signal processing for deriving the respiratory signal were analyzed and evaluated with use of clinical data. It allowed us to select the adequate solutions for our implementation. The results of evaluations obtained with three different variants of EDR are presented and discussed. The implementation was tested with clinical data containing simultaneously recorded 2-channel ECG signals and reference respiration signals registered with use of chest belt and strain gauge.,2474-2465,978-1-5386-6768-2,10.1109/ICSES.2018.8507332,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8507332,ECG;ECG-derived respiration;biomedical signal processing;respiratory signal,Electrocardiography;Estimation;Modulation;Filtering;Interpolation;Heart,electrocardiography;medical signal processing;pneumodynamics,ECG-derived respiration;complete implementation;clinical data;end-to-end;effective implementation;respiration signal;recognized signal;ECG signal processing;respiratory signal;2-channel ECG signals;reference respiration signals,,,6,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Effects of non-stoichiometry of silicon oxide layers in double barrier structure on high temperature annealing of ultrathin silicon layer,R. B. Beck; P. Korb,"Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Poland",2017 Joint International EUROSOI Workshop and International Conference on Ultimate Integration on Silicon (EUROSOI-ULIS),,2017,,,168,171,Double barrier structure with silicon layer instead of metal can potentially enable variety of intriguing applications of such a structure. The observations so far have pointed out that behavior of such structures during high temperature process may depend on availability of oxygen. It can potentially influence the result of race for silicon atoms between recrystallization and oxidation processes. The aim of this work is to study experimentally influence of excess or deficiency of oxygen (i.e. non-stoichiometric composition) in the barrier oxide layers of this structure (thus having direct contact with ultrathin silicon layer) during high temperature processes in controlled ambient atmosphere.,2472-9132,978-1-5090-5313-1,10.1109/ULIS.2017.7962573,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962573,double barrier structure;silicon recrystallization;silicon oxidation;silicon nanocyrstals,Silicon;Annealing;Oxidation;Plasma temperature;Ellipsometry;Temperature measurement;Adaptive optics,oxidation;recrystallisation annealing;silicon compounds,non-stoichiometry effects;double barrier structure;high temperature annealing;ultrathin silicon layer;recrystallization;oxidation;SiO,,,4,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
A low power input amplifier for bio-signal acquisition in 28 nm FDSOI technology,M. Wołodźko; W. Kuźmicz,"Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Poland",2017 IEEE 20th International Symposium on Design and Diagnostics of Electronic Circuits & Systems (DDECS),,2017,,,79,82,"In this paper a low power amplifier for bio-signal acquisition is described. The design takes benefit of UTBB-FDSOI 28nm technology and exploits bulk under the buried oxide as a second gate of FET device. This amplifier exhibits low supply current of 25nA, while keeping input noise at 24 μV in bio-signal frequency band. The gain of the amplifier is 71dB.",2473-2117,978-1-5386-0472-4,10.1109/DDECS.2017.7934562,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934562,Low-power electronics;low-noise amplifiers;silicon-on-insulator;UTBB-FDSOI,Logic gates;Gain;Transistors;Capacitors;Bandwidth;Silicon-on-insulator;Power demand,biomedical electronics;field effect transistors;low-power electronics;medical signal detection;power amplifiers;silicon-on-insulator,low power input amplifier;bio-signal acquisition;UTBB-FDSOI technology;buried oxide;FET device;size 28 nm;current 25 nA;voltage 24 muV;Si,,1,6,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
The concept of the RF phase reference distribution system for SINBAD accelerator research facility,M. Urbanski; K. Czuba; F. Ludwig; N. Ngada; U. Dorda; H. Pryschelski; H. Schlarb,"Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Deutsches Elektronen Synchrotron DESY, Hamburg, Germany; Deutsches Elektronen Synchrotron DESY, Hamburg, Germany; Deutsches Elektronen Synchrotron DESY, Hamburg, Germany; Deutsches Elektronen Synchrotron DESY, Hamburg, Germany; Deutsches Elektronen Synchrotron DESY, Hamburg, Germany",2018 22nd International Microwave and Radar Conference (MIKON),,2018,,,385,387,"SINBAD - Short Innovative Bunches and Accelerators at DESY - is the accelerator research facility, located in DESY, Hamburg, Germany. It is planned to be the place, where various experiments, related to creating ultra-short electron bunches and high gradient acceleration techniques, will take place. One of planned experiments - ARES - Accelerator Research Experiment at SINBAD - is a conventional S-band electron linac, accelerating ultra-short (single fs) electron bunches to energy of 100 MeV. To ensure proper and stable work of this accelerator, a high frequency phase reference distribution system needs to be designed, manufactured and tested. In this paper the concept of such system for SINBAD is presented. The design is based on authors' experience and knowledge gained during development of similar systems for FLASH, XFEL, REGAE and ESS-ERIC accelerators.",,978-83-949421-1-3,10.23919/MIKON.2018.8405233,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405233,SINBAD;ARES;phase reference distribution;RF cable temperature stabilization;interferometric phase stabilization,Power cables;Heating systems;Radio frequency;Temperature measurement;Coaxial cables;Temperature distribution;Cable insulation,accelerator RF systems;electron accelerators;linear accelerators;particle beam bunching,high frequency phase reference distribution system;authors;similar systems;ESS-ERIC accelerators;RF phase reference distribution system;SINBAD accelerator research facility;DESY;ultra-short electron bunches;high gradient acceleration techniques;planned experiments;conventional S-band electron linac;ARES;Short Innovative Bunches and Accelerators;Accelerator Research Experiment;electron volt energy 100.0 MeV,,,8,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Subtleties affecting the efficiency of the structure lightning and overvoltage protection,Z. Flisowski; P. Sul,"Warsaw University of Technology, Warsaw, Poland; Warsaw University of Technology, Warsaw, Poland",2018 34th International Conference on Lightning Protection (ICLP),,2018,,,1,4,"The paper is devoted to subtleties in normative provisions that may have a negative impact on the effectiveness of lightning and surge protection of buildings and their equipment. Particular attention is paid to the proper role of the lightning protection level of the structure and the effectiveness of the air terminals installed on its roof, as well as the proper selection and installation of devices for limiting surges in the structure equipment.",,978-1-5386-6635-7,10.1109/ICLP.2018.8503401,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8503401,devices reducing surges;lightning protection level;zones protected by air terminals,Surge protection;Surges;Voltage control;Conductors;Discharges (electric);Lightning protection,lightning protection;overvoltage protection;surge protection,lightning protection level;surges;structure equipment;structure lightning;overvoltage protection;normative provisions,,,10,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
